32610
[sudo] password for yarikov: 2018-07-17 17:28:43 [INFO    ] Host: stapel.red-soft.ru
2018-07-17 17:28:43 [INFO    ] Pungi version: 4.1.17
2018-07-17 17:28:43 [INFO    ] User name: root
2018-07-17 17:28:43 [INFO    ] Working directory: /tmp
2018-07-17 17:28:43 [INFO    ] Command line: /bin/pungi-koji --target-dir=/mnt/hdd_tmp/tester_build_iso/redos --config /home/yarikov/web/testeros/magic/work/buildiso/config.file --label=Snapshot-1.0 --supported
2018-07-17 17:28:43 [INFO    ] Compose top directory: /mnt/hdd_tmp/tester_build_iso/redos/redos-MUROM-7.1-20180717.0
2018-07-17 17:28:43 [DEBUG   ] Writing variants file: /mnt/hdd_tmp/tester_build_iso/redos/redos-MUROM-7.1-20180717.0/work/global/variants.xml
2018-07-17 17:28:43 [DEBUG   ] Exporting file /home/yarikov/web/testeros/magic/work/buildiso/variants.xml.redos from current working directory...
2018-07-17 17:28:43 [DEBUG   ] Config option 'productimg' not set. Skipping creating product images.
2018-07-17 17:28:43 [INFO    ] Config section 'extra_files' was not found. Skipping.
2018-07-17 17:28:43 [INFO    ] Config section 'live_images' was not found. Skipping.
2018-07-17 17:28:43 [INFO    ] Config section 'live_media' was not found. Skipping.
2018-07-17 17:28:43 [INFO    ] Config section 'image_build' was not found. Skipping.
2018-07-17 17:28:43 [INFO    ] Config section 'ostree' was not found. Skipping.
2018-07-17 17:28:43 [INFO    ] Config section 'ostree_installer' was not found. Skipping.
2018-07-17 17:28:43 [INFO    ] Config section 'osbs' was not found. Skipping.
2018-07-17 17:28:43 [INFO    ] [BEGIN] ---------- PHASE: INIT ----------
2018-07-17 17:28:43 [DEBUG   ] Writing global comps file: /mnt/hdd_tmp/tester_build_iso/redos/redos-MUROM-7.1-20180717.0/work/global/comps/comps-global.xml
2018-07-17 17:28:43 [DEBUG   ] Exporting file /home/yarikov/web/testeros/magic/work/buildiso/comps.xml from current working directory...
2018-07-17 17:28:43 [DEBUG   ] Writing comps file for arch 'x86_64': /mnt/hdd_tmp/tester_build_iso/redos/redos-MUROM-7.1-20180717.0/work/x86_64/comps/comps-x86_64.xml
2018-07-17 17:28:44 [INFO    ] [BEGIN] Creating comps repo for arch 'x86_64'
2018-07-17 17:28:44 [INFO    ] [DONE ] Creating comps repo for arch 'x86_64'
